deptAcronym,shortcode,uniqueId,department,projectName,description,totalBudget,estimatedCompletionDate,rawProvidedDate,yearsRemaining,originalDocumentOrder,source,asOfDate,isOver10M,isOver100M
cra,bir,cra-bir,Canada Revenue Agency,Business Intelligence Renewal,"Business Intelligence (Bl) Renewal: The project will establish a self -service CRA Bl_ environment to meet the key needs of researchers and analysts to drive business decisions and actions, and better manage the end to end compliance lifecycle.","$24,170,000","March 31, 2020","March 31, 2020",3.8,11,8555-421-266,"June 9, 2016",1,0
cra,citm,cra-citm,Canada Revenue Agency,Charities IT Modernization,"Charities IT Modernization: Enables the CRA to modernize its IT systems to provide electronic services to file the annual Registered Charity Information Return (T3010), to enable online applications for charitable registration, and provide enhanced ability to collect and display charities data.","$22,977,000","March 31, 2019","March 31, 2019",2.8,12,8555-421-266,"June 9, 2016",1,0
cra,cbcr,cra-cbcr,Canada Revenue Agency,Country by Country Reporting,"Country by Country Report (CBCR): The Country by Country Report (CbCR) is a common template for a new requirement that Multi National Enterprises (MNEs) provide participating governments with information about their global allocation of income, economic activity, and taxes paid . The Country by Country project relates to the implementation and use of the CbCR at the CRA.","$11,463,000","March 31, 2020","March 31, 2020",3.8,13,8555-421-266,"June 9, 2016",1,0
cra,mme,cra-mme,Canada Revenue Agency,Managed Metadata Environment,Managed Metadata Environment (MME): The project will procure a Commercial Off-the-Shelf (COTS) solution to capture both the business and the technical metadata on structured information in a· centralized repository.,"$3,532,000","March 31, 2019","March 31, 2019",2.8,14,8555-421-266,"June 9, 2016",0,0
cra,nrsdi,cra-nrsdi,Canada Revenue Agency,Non-Resident Source Deduction Identification,"Non-Resident Source Deduction Identification (NSRDI): The project will develop a new non-resident (NR) account identification framework that integrates with existing Agency identification platfor ms. It will also enable online registration for non-residents, improve the capture and storage of information related to their properties and representatives, and establish a holistic taxpayer view to mitigate the risk of revenue leakage between NR
 accounts and related accounts.","$9,389,000","March 31, 2019","March 31, 2019",2.8,15,8555-421-266,"June 9, 2016",0,0
cra,psm,cra-psm,Canada Revenue Agency,Physical Security Modernization,"Physical Security Modernization: The project will strengthen the physical security posture of the CRA sites to safeguard sensitive client information, assets, and protect personnel by upgrading/standardizing physical security systems and associated software products related to the Card Access System, Intrusion Detection System {IDS) (alarm monitoring), and Closed Circuit Television/Video {CCTV), implementing a centralized, integrated Physical Security Information Management (PSIM) solution and establishing centralized Security Operations Centres.","$5,411,000","March 31, 2019",2018-19,2.8,16,8555-421-266,"June 9, 2016",0,0
cra,bsr,cra-bsr,Canada Revenue Agency,Benefits System Renewal Project,"Benefits System Renewal Project (BSRP): BSRP will address aging infrastructure issues with the benefits system and to improve the CRA's
 ·capacity in the areas of program growth and service delivery. The project will renew and strengthen CRA's benef!ts system by modernizing and incorporating more efficient technology to ensure the uninterrupted delivery of benefit payments and services.","$79,047,000","March 31, 2020",2019-20,3.8,17,8555-421-266,"June 9, 2016",1,0
cra,bniip,cra-bniip,Canada Revenue Agency,Business Number Ident Integrity,"Business Number ldent integrity (BNIIP): The BNIIP project will prepare the Business Number {BN) system to meet CRA commitments under the Industry Canada {IC) led Government of Canada (GoC) BN initiative. -It will ensure the
 data currently residing on the BN database is accurate and that BN system processes do not result in unauthorized disclosure of personal taxpayer information to third parties as the foundational piece of the larger Goe BN initiative","$15,724,000","March 31, 2018",2017-18,1.8,18,8555-421-266,"June 9, 2016",1,0
cra,clp,cra-clp,Canada Revenue Agency,Collection Limitation Period,Collection limitation Period (CLP): The projects is to build an automated solution to calculate the CLP in order to eliminate the risk of the Agency not complying with legislation and to ensure collection actions are taken on legally enforceable accounts (as a result of a 2004 legislative amendment where a limitation period was imposed on the collection of outstanding tax debts). .,"$17,201,000","March 31, 2017",2016-i7,0.8,19,8555-421-266,"June 9, 2016",1,0
cra,csr,cra-csr,Canada Revenue Agency,Compliance Systems Redesign,"Compliance Systems Redesign (CSR): The CSR project consolidates and modernizes the tool set currently used by Agency auditors, while also addressing the sustainability issues of its legacy systems.","$132,331,000","March 31, 2017",2016-17,0.8,20,8555-421-266,"June 9, 2016",1,1
cra,ccti,cra-ccti,Canada Revenue Agency,Contact Centre Transformation Initiative,"Contact Centre Transformation Initiative (CCTI): Shared Services Canada (SSC) has undertaken the CCTI which requires that all Government of Canada (GoC) contact centers migrate to a new hosted contact center platform. The organizational capacity is required to manage a transformation of this magnitude and to act as the point of contact within the Agency for all
 program stakeholders.","$12,378,000","March 31, 2020",2019-20,3.8,21,8555-421-266,"June 9, 2016",1,0
cra,edrm,cra-edrm,Canada Revenue Agency,Electronic Document and Records Management,"Electronic Document and Records Management (EDRM): Public Services and Procurement Canada (PSPC) will ensure a standardized approach to electronic document and record management across the federal public service with GCDocs, a Government-wide Electronic Documents and Records Management Solution (EDRMS). The purpose of the EDRMS project is to conduct several pilots to gather information and metrics to inform clear go- forward recommendations for the Agency-wide funding and deployment of the EDRMS tool - GCDocs. The scope of the pilots will only include managing internal servic s information. This pilot approach allows the Agency to minimize risks and provides valuable insights to recommendations for going
 forward.","$6,116,000","March 31, 2017",2016-17,0.8,22,8555-421-266,"June 9, 2016",0,0
cra,ecs,cra-ecs,Canada Revenue Agency,Enhancing Collection Strategies,"Enhancing Collection Strategies (ECS): The project includes 18 initiatives that
 consists of enhancements to collections strategies and thresholds, tools, and existing technology in order to increase the Agency's overall capacity to deliver collection program objectives. They will notably provide tools that will help maximize Collec ion program's interactions with taxpayers, leverage business intelligence to improve effectiveness, and ensure better utilization of limited resources through targeted use of the resources in order to
 optimize compliance.","$3,200,000","March 31, 2017",2016-17,0.8,23,8555-421-266,"June 9, 2016",0,0
cra,eac-1,cra-eac-1,Canada Revenue Agency,External Administrative Correspondence Phase 1,"External Administra.tive Correspondence (EAC) Phase 1: The project will improve clarity, readability, accessibility and understandability of external correspondence sent by the Canada Revenue Agency (CRA) to taxpayers, businesses and their representatives for the Agency's highest volume
 outputs.","$10,500,000","March 31, 2017",2016-17,0.8,24,8555-421-266,"June 9, 2016",1,0
cra,hrsm,cra-hrsm,Canada Revenue Agency,HR Service Modernization,"HR Service Modernization: This project contributes to the realization of
 annual targeted savings of $SM by promoting self-service and reducing HR back office administration.","$6,721,000","March 31, 2017",2016-17,0.8,25,8555-421-266,"June 9, 2016",0,0
cra,iam-3,cra-iam-3,Canada Revenue Agency,Identity and Access Management Phase 3,"Identity and Access Management (1AM) Phase 3 - Password Management: This project allows the CRA to provide self-service passwords reset
 functionality across five major computing platfo rms .","$4,712,000","March 31, 2017",2016-17,0.8,26,8555-421-266,"June 9, 2016",0,0
cra,iam-4,cra-iam-4,Canada Revenue Agency,Identity and Access Management Phase 4,Identity and Access Management (1AM) Phase 4 - Access Management: The project will centralize and standardize all access-related requests and enhance the tool used by managers to allow them to review both employee · and non-employee access permissions to CRA and CBSA systems .,"$15,014,000","March 31, 2018",2017-18,1.8,27,8555-421-266,"June 9, 2016",1,0
cra,iuef,cra-iuef,Canada Revenue Agency,Increased Usage of Electronic Filing,"Increased Usage of Electronic Filing: This project will accelerate the
 electronic filing of the Tl and T2 returns to the levels required to achieve
 program and adm.  inist rative  efficiencies, as a result of legislation introduced
 requiring tax preparers who receive payment to prepare more than ten
 returns to file electronically .","$2,558,000","March 31, 2017",2016-17,0.8,28,8555-421-266,"June 9, 2016",0,0
cra,diu,cra-diu,Canada Revenue Agency,InfoDec Data Integrity and Usage,"lnfoDec - Data Integrity and Usage (DIU): The project will increase the
 volume of Information Declaration (lnfoDec) data available on My Account/My Business Account (MyBA), and provide Canadians with more ways to interact with the Canada Revenue Agency (CRA) online for information returns purposes. In addition, the project will enable the
 application of more validations to certain information slips.","$6,353,000","March 31, 2019",2018-19,2.8,29,8555-421-266,"June 9, 2016",0,0
cra,ma-2,cra-ma-2,Canada Revenue Agency,Mobile Apps Phase 2,"Mobile Apps Phase 2: The project will implement impr9vements to the
 existing CRA mobile app including expanding device functionality and introducing new services to the mobile platform.","$1,915,000","March 31, 2017",2016-17,0.8,30,8555-421-266,"June 9, 2016",0,0
cra,nats,cra-nats,Canada Revenue Agency,National Audit Trail System Enterprise Fraud Management,"National Audit Trail System (NATS): The implementation of an Enterprise
 Fraud Management (EFM) to enable the review and analysis of employee
 transactions on CRA applications containing taxpayer data in the production
 environment.","$11,240,000","March 31, 2018",2017-18,1.8,31,8555-421-266,"June 9, 2016",1,0
cra,pay-system,cra-pay-system,Canada Revenue Agency,Phoenix Pay System,"Pay Modernization: This Project is a government-wide initiative which will
 replace the 40 year old government's pay system with a modern, more
 efficient, and reliable system called Phoenix. The integration of the CRA's
 Corporate Administrative System (CAS) with Phoenix will enable the CRA to
 continue to manage its human resources and financial programs efficiently
 while continuing to support the government's goal to provide a modernized
 delivery of payroll.","$13,113,000","March 31, 2017",2016-17,0.8,32,8555-421-266,"June 9, 2016",1,0
cra,sss,cra-sss,Canada Revenue Agency,Session Sharing Software for CRA Portals,"Session Sharing Software (SSS): This project and tool will support the CRA
 portals and enhance that taxpayer experience allowing them to directly
 navigate between portal functions.","$2,414,000","March 31, 2017",2016-17,0.8,33,8555-421-266,"June 9, 2016",0,0
cra,edi,cra-edi,Canada Revenue Agency,e-Delivery,"e-Delivery - Individuals: The project will enable individuals to view, print, and download electronic correspondence through the Agency's secure online portals. This Online Mail service provides clients with the choice of opting out of paper mailings to receive their tax related correspondence online. The service also provides an email notification advising clients when new mail is available for viewing in their online account.","$9,611,000","March 31, 2018",2017-18,1.8,34,8555-421-266,"June 9, 2016",0,0
cra,sd,cra-sd,Canada Revenue Agency,Submit Documents,"Submit Documents: The Submit Documents service enables taxpayers and authorized representatives to have a secure method to transmit supporting documentation electronically to the CRA through the applicable CRA secure online portal. The required information can be provided in a variety of formats and is linked to the applicable workload through a reference number provided on the CRA request for information. Using workload management systems, Agency staff can easily examine electronic submissions to determine if the information request has been satisfied or if further action is required on the taxpayer account","$2,686,000","March 31, 2017",2016-17,0.8,35,8555-421-266,"June 9, 2016",0,0
cra,t1sr,cra-t1sr,Canada Revenue Agency,T1 Systems Redesign,"Tl Systems Redesign (TlSR): TlSR will address IT sustainably risks associated
 with the Tl suite of systems. Tl systems will be modernized and tax returns
 will be processed using common, contemporary tools. The project will create
 a strong, flexible, and resilient foundation for the Tl Program that will
 position the Agency to achieve its longer term goals (i.e. to enhance the
 availability of e-services).","$251,000,000","March 31, 2020",2019-20,3.8,36,8555-421-266,"June 9, 2016",1,1
cra,wri,cra-wri,Canada Revenue Agency,Web Renewal Initiative,"Web Renewal Initiative: This initiative will require the CRA to migrate its web
 presence to the new www.Canada.ca domain and decommission its current website (www.cra.gc.ca) by December 31, 2016.","$7,321,000","March 31, 2017",2016-17,0.8,37,8555-421-266,"June 9, 2016",0,0
cra,asp,cra-asp,Canada Revenue Agency,Application Sustainability Program,"Application Sustainability Program (ASP): The ASP program was established
 to mitigate the risks associated with application sustainability by modernizing
 CRA enterprise applications in line with Agency priorities, oversight
 requirements and within an annual funding envelope of $10M subject to
 approval on an annual basis.","$10,000,000","March 31, 2017",2016-17,0.8,38,8555-421-266,"June 9, 2016",0,0
cra,nrtoifp,cra-nrtoifp,Canada Revenue Agency,Non-Resident Trust & Offshore Investment Fund,Non-Resident Trust & Offshore Investment Fund Property (NRTs & OIFPs): To support the workload of the International and Large Business Investigative Branch (ILBIB). lncl des Linking Audit Results to Risks/Issues and Partnerships & Trusts and Foreign Reporting Requirements Management.,"$10,300,000","March 31, 2017",2016-17,0.8,39,8555-421-266,"June 9, 2016",1,0
cra,eftm-1,cra-eftm-1,Canada Revenue Agency,Electronic Funds Transfer Matching Phase 1,"Electronic Funds Transfer (EFT) Matching - Phase 1 : The project will store EFT records, enable users to search them and automatically produce alerts based on business rules to identify new compliance workload.","$15,000,000","March 31, 2018",2017-18,1.8,40,8555-421-266,"June 9, 2016",1,0
cra,crs,cra-crs,Canada Revenue Agency,Common Reporting Standard,"Common Reporting Standard (CRS): The project is focused on developing a solution to collect financial information from Canadian Financial Institutions, transmit that information to Canada's exchange partners electronically through a secure transmission process, and develop a solution for the CRA to electronically collect financial account information from foreign countries and to store that information in a useable format.
  
 As of June 9, 2016, $18,243 of funding was committed for this proposal.","$18,243,000","March 31, 2020",2019-20,3.8,41,8555-421-266,"June 9, 2016",1,0
cra,dsi,cra-dsi,Canada Revenue Agency,Data Security Initiative,"Data Security Initiative (DSI): The project will enhance security controls,
 protect how sensitive information is stored, used and transmitted over the
 network, and achieve greater visibility and accountability of how data is used internally.
 As of June 9, 2016, $950 of funding was committed for this proposal.","$10,151,000","March 31, 2020",2019-20,3.8,42,8555-421-266,"June 9, 2016",1,0
cra,eftm-2,cra-eftm-2,Canada Revenue Agency,Electronic Funds Transfer Matching Phase 2,"Electronic Funds Transfer (EFT) Matching - Phase 2: The project will enable
 • matching data from EFT records to the correct taxpayer, and by modifying
 existing risk assessment and case management tools to incorporate this new
 data and to accommodate any new compliance workload generated by EFTs.
 As of June 9, 2016, $12,700 of funding was committed for this proposal.","$12,700,000","March 31, 2020",2019-20,3.8,43,8555-421-266,"June 9, 2016",1,0
cra,bpf,cra-bpf,Canada Revenue Agency,"Planning, Budgeting, and Forecasting","Planning, Budgeting and Forecasting: The project will implement an integrated resource management solution for Budgeting, Planning, and Forecasting.
  
 As of June 9, 2016, $96 of funding was committed for this proposal.","$5,000,000","March 31, 2019",2018-19,2.8,44,8555-421-266,"June 9, 2016",0,0
cra,spr,cra-spr,Canada Revenue Agency,Secure Portals Reengineering,"Secure Portals Reengineering Phase 1: The Secure Portal Reengineering project aims to create a single secure and authenticated digital service space inclusive of all CRA branches and programs that will function as the centralized hub of secure online services for the Agency.
  
 As of June 9, 2016, $1,527 of funding was committed for this proposal.","$10,500,000","March 31, 2020",2019-20,3.8,45,8555-421-266,"June 9, 2016",1,0
cra,wm,cra-wm,Canada Revenue Agency,Workload Management,"Workload Management: The Collections and Verification Branch (CVB) requires new case and workload management systems in order to meet the strategic goals and objectives of the Government of Canada, the Agency, the CVB.
  
 As of June 9, 2016, $3,924 of funding was committed for this proposal.","$72,900,000","March 31, 2020",2019-20,3.8,46,8555-421-266,"June 9, 2016",1,0
cra,agitpr,cra-agitpr,Canada Revenue Agency,Aggressive International Tax Planning Research Risk Assessment and Workload Selection,"Aggressive International Tax Planning Research Risk Assessment and Workload Selection: This project will create a centralized risk analysis tool to proactively identify aggressive tax planning specific transactions.
  
 As of June 9, 2016, no funding was committed for this proposal.","$4,023,000","March 31, 2020",2019-20,3.8,47,8555-421-266,"June 9, 2016",0,0
cra,ccte,cra-ccte,Canada Revenue Agency,Contact Centre Telephony Enhancements,"Contact Centre Telephony Enhancements: Telephony Enhancement features such as IVR, Third Party Integration, CTI, Multimedia and Outbound Dialing Capability are add -on solutions within the Hoste. d Contact Centre Solution (CCS) for contact centres that could enhance the present business processes by increasing contact center efficiency and customer satisfaction and evolve toward a true call interaction network. Each CRA contact centre will have the opportunity to leverage these technologies to optimize service int eractions . Each CRA contact centre will have the opportunity to leverage these technologies to optimize service interactions.
 ""
 As of June 9, 2016, no funding was committed for this proposal.","$12,650,000","March 31, 2021",2020-21,4.8,48,8555-421-266,"June 9, 2016",1,0
cra,sf-1,cra-sf-1,Canada Revenue Agency,Agency Wide Service Feedback Phase 1,"Agency Wide Service Feedback Model: This proposal will provide a common solution for the Agency to report on service feedback across multiple business programs.
  
 As of June 9, 2016, $500 of funding was committed for this proposal.","$8,150,000","March 31, 2020",2019-20,3.8,49,8555-421-266,"June 9, 2016",0,0
cra,gst,cra-gst,Canada Revenue Agency,Enhance GST/HST ATP Risk Assessment Tools,"Enhance GST/HST ATP Risk Assessment Tools: This proposal will improve the
 identification of unwarranted GST/HST refu nds, before they are paid, by
 developing an advanced Analytic solution that will utilize state-of-the art identity and relationship resolution software technology to expose and
 visualize linkages that form Aggressive GST Schemes.
 As of June 9, 2016, $11,143 of funding was committed for this proposal.","$11,143,000","March 31, 2019",2018-19,2.8,50,8555-421-266,"June 9, 2016",1,0
cra,dm,cra-dm,Canada Revenue Agency,Digital Mailroom,"Electronic Mail Management Phase 1: This proposal will implement changes in FileNet to improve misdirected electronic documents as well as support the expansion of Submit Documents service to accept all solicited and unsolicited documents. This phase also develops the intelligence to incorporate a digital mailroom solution that facilitates the automated distribution of electronic documents to workload management tools.
  
 As of June 9, 2016, $2,640 of funding was committed for this proposal.","$5,940,000","March 31, 2018",2017-18,1.8,51,8555-421-266,"June 9, 2016",0,0
cra,fev,cra-fev,Canada Revenue Agency,InfoDec Front End Validations,"lnfodec - Front End Validations: The intent of this proposal is to create a capacity to perform front-end validations on the returns that are captured within InfoDec, which will help support other Agency activities and services, including matching and Auto-Fill My Return. The proposal will build upon the data validation deliverables (though not front end) currently planned under the lnfoDec Data Integrity and Usage project.
  
 As of June 9, 2016, $890 of funding was committed for this proposal.","$9,740,000","March 31, 2021",2020-21,4.8,52,8555-421-266,"June 9, 2016",0,0
cra,apmd,cra-apmd,Canada Revenue Agency,Application Performance Monitoring and Deployment,"Application Performance Monitoring and Deployment: The proposal will focus on decreasing the time, complexity and the costs for moving applications to the production environment, in addition to providing a more cost-effective use of infrastructure resources and increasing the accuracy of estimates for future infrastructure requirements by establishing requirements, procuring the right tools, modernizing processes and implementing changes in the key areas identified.
  
 As of June 9, 2016, $530 of funding was committed for this proposal.","$4,420,000","March 31, 2019",2018-19,2.8,53,8555-421-266,"June 9, 2016",0,0
cra,ets,cra-ets,Canada Revenue Agency,Enterprise Testing Solution,"Enterprise Testing Solution: The Agency's current testing model and associated tools are respectively nearly 20 and 10 years old and will not support an agile development environment. The intent of this proposal is to introduce an ETS that aligns with industry best practices and Shared Services Canada (SSC) infrastructure services for the next 10 years.
  
 As of June 9, 2016, $680 of funding wqs .committed for this proposal.","$6,780,000","March 31, 2019",2018-19,2.8,54,8555-421-266,"June 9, 2016",0,0
cra,e-interactions,cra-e-interactions,Canada Revenue Agency,e-Interactions Sub-Programme,"e-lnteractions Sub-Programme: Enables the implementation of new services to respond to the increasing digital expectations of Canad_ians and make it easier for them to comply, by providing end-to-end, modern e-Services that are easy, fast, and secure. The sub-programme is a subset of projects that are predominantly enhancements or extensions of existing services which tend to be less complex and less costly, given that most planning and architecture considerations have already been addressed.
 As of June 9, 2016, $20,095 of funding was committed for this sub- programme.","$20,095,000","March 31, 2021","2020-21
  
 .",4.8,55,8555-421-266,"June 9, 2016",1,0
cra,eac-2,cra-eac-2,Canada Revenue Agency,External Administrative Correspondence Phase 2,"External Administrative Correspondence (EAC) Phase 2: The project will improve clarity, readability, accessibility and understandability of external correspondence sent by the Canada Revenue Agency (CRA) to taxpayers, businesses and their representatives on most of the lower volume outputs not addressed in Phase 1.
  
 As of June 9, 2016, $11,700 of funding was committed for this proposal.","$11,700,000","March 31, 2019",2018-19,2.8,56,8555-421-266,"June 9, 2016",1,0
cra,common-identifier,cra-common-identifier,Canada Revenue Agency,Identity Solution,"Identity Solution: The intent of this proposal is to develop a common identifier to streamline access for primary account holders and parties acting on their behalf. This includes: authentication, identification, and registration of business processes, IT processes and IT systems and databases.
  
 As of June 9, 2016, no funding was committed for this proposal.","$15,000,000","March 31, 2021",2020-21,4.8,57,8555-421-266,"June 9, 2016",1,0
cra,ci-vpn,cra-ci-vpn,Canada Revenue Agency,Criminal Investigations Virtual Private Network,"Criminal Investigations Virtual Private Network: The intent of this proposal is to create a Virtual Private Network (VPN) that would connect the standalone computers and servers at the six offices across the country, HQ, and the Imaging Technology Centre to a single secure network. This will allow the forensic and informatics program to leverage its resources nationally and provide the ability for investigators from the various offices to work on the same case in a timely and efficient manner.
  
 As of June 9, 2016, no funding was committed for this proposal.","$6,770,000","March 31, 2018",2017-18,1.8,58,8555-421-266,"June 9, 2016",0,0
pch,eti,pch-eti,Canadian Heritage,Email Transformation Initiative,"Email Transformation Initiative
  
 The Government of Canada's Email Transformation Initiative will consolidate and modernize email services to reduce costs, increase security, and enhance program delivery to Canadian citizens and businesses. Shared Services Canada is mandated to work with partner departments and agencies to move to a consolidated e-mail platform. Therefore Canadian Heritage is moving from Lotus Notes to Microsoft Outlook. This initiative also includes the conversion of all applications that use email for
 transport of information, the conversion of all applications built in Lotus Notes and the conversion of all Lotus Notes document libraries to another solution.","$3,363,738","March 31, 2018","March 31, 2018",1.8,59,8555-421-266,"June 9, 2016",0,0
pch,gcmp,pch-gcmp,Canadian Heritage,Grants and Contributions Modernization Project,"Grants and Contributions Modernization Action Plan (IT component only)
  
 The purpose of this initiative is to modernize the delivery of our grants and contributions programs to better serve Canadians. The IT component is comprised of two phases:
 - Development of a new online system aimed to make the process of applying for funding, reporting and interacting with clients easier and faster.
 - Once the new grants and contributions online system is fully implemented and new tools and
 processes are in place to support programs, outdated tools and solutions will be decommissioned.","$2,791,679","March 31, 2019","March 31, 2019",2.8,60,8555-421-266,"June 9, 2016",0,0
pch,gcdocs,pch-gcdocs,Canadian Heritage,GCdocs,"GCDOCS
  
 GCDOCS is the Government of Canada official Electronics Document Records Management System solution. The deployment of GCDOCS will be an important step forward towards safeguarding information assets and rationalizing the Information Management life cycle processes at an enterprise- level. GCDOCS enables document centric collaboration while offering robust access controls through
 user and arouo administration riahts.","$3,968,072","March 31, 2019","March 31, 2019",2.8,61,8555-421-266,"June 9, 2016",0,0
esdc,mlamp,esdc-mlamp,Employment and Social Development Canada,Mainframe Legacy Application Migration Project,Mainframe Legacy Application Migration Project (MLAMP) - A project to migrate a portfolio of ESDC applications from a legacy system to a new platform.,"$123,208,125","March 31, 2017","March 31, 2017",0.8,62,8555-421-266,"June 9, 2016",1,1
esdc,eip-3,esdc-eip-3,Employment and Social Development Canada,Enterprise-wide Imaging Phase 3,Enterprise-wide Imaging Phase 3 - To develop an Imaging solution to address business requirements both from a storage and business process perspective. .· · · .,"$5,082,565","March 31, 2018","March 31, 2018",1.8,63,8555-421-266,"June 9, 2016",0,0
esdc,qms,esdc-qms,Employment and Social Development Canada,Quality Management System,Quality Management System (QMS) - A solution to allow for enhanced data manipulation enabling a finer degree of analysis- in the production of various reports and statistical verifications.,"$2,113,358","November 29, 2017","November 29, 2017",1.5,64,8555-421-266,"June 9, 2016",0,0
esdc,sst-atrium,esdc-sst-atrium,Employment and Social Development Canada,Social Security Tribunal Atrium Stabilization Project,Social Security Tribunal (SST) Atrium Stabilization Project -To stabilize and program an interim solution (Atrium) while a Case Management Solution is being implemented.,"$3,863,898","March 31, 2017","March 31, 2017",0.8,65,8555-421-266,"June 9, 2016",0,0
esdc,esd-noc,esdc-esd-noc,Employment and Social Development Canada,National Occupational Classification Migration,ESD National Occupational Classification (NOC) 2011- To manage the migration of ESDC systems and programs from the NOC 2006 to the NOC 2011.,"$1,946,405","March 29, 2017","March 29, 2017",0.8,66,8555-421-266,"June 9, 2016",0,0
esdc,tfwp,esdc-tfwp,Employment and Social Development Canada,Temporary Foreign Worker System and Webservice Enhancements,"Temporary Foreign Worker (TFW) System and Webservice Enhancements 2.0 - To provide required updates for the TFW Program's t o main web applications: TFW System - the administrative backbone of the program; and.TFW Web service
 - the publicly accessible online web-application.","$6,321,677","March 31, 2017","March 31, 2017",0.8,67,8555-421-266,"June 9, 2016",0,0
esdc,hr-cms,esdc-hr-cms,Employment and Social Development Canada,Corporate Management System,"Corporate Management System (CMS) - Archiving and Decommissioning of ESDC's historical data for finance, materiel
 management and HR, following the implementation of SAP and PeooleSoft v9.1.","$2,364,547","August 16, 2016","August 16, 2016",0.2,68,8555-421-266,"June 9, 2016",0,0
esdc,eti,esdc-eti,Employment and Social Development Canada,Email Transformation Initiative,"Email Transformation Initiative (ETI) - To transition all ESD mailboxes and Blackberry devices to the new SSC e-mail
 system.","$2,752,395","May 30, 2017","May 30, 2017",1.0,69,8555-421-266,"June 9, 2016",0,0
esdc,ils,esdc-ils,Employment and Social Development Canada,Integrated Labour System,Integrated Labour_System (ILS) - Integration of the various systems and databases used to support and enable the delivery of the Labour Program mandate.,"$10,683,201","August 4, 2022","August 4, 2022",6.2,70,8555-421-266,"June 9, 2016",1,0
