deptAcronym,shortcode,uniqueId,department,projectName,description,totalBudget,estimatedCompletionDate,rawProvidedDate,yearsRemaining,originalDocumentOrder,source,asOfDate,isOver10M,isOver100M
ssc,wcs,ssc-wcs,Shared Services Canada,Workplace Communication Services,"Workplace Communication Services - PRJ-002001
The Workplace Communication Services Project will enable the design and implementation of enterprise Workplace Communication Services for the GC, encompassing the establishment of procedures and resources to support the migration of GC organizations to the new services and the migration to these new services.","$130,837,581","March 31, 2026","March 31, 2026",6.9,17,8555-421-2460,"May 1, 2019",1,1
ssc,itsm,ssc-itsm,Shared Services Canada,Enterprise IT Service Management Project,"Enterprise IT Service Management (ITSM) Tool Project- PRJ-003108
The Enterprise ITSM Tool Project is a multi-year project during which a vendor will provide SSC with an on premise, fully provisioned ITSM solution in SSC's data centre.","$30,359,147","September 30, 2021","September 30, 2021",2.4,18,8555-421-2460,"May 1, 2019",1,0
ssc,noa,ssc-noa,Shared Services Canada,Network Device Authentication,"Network Device Authentication (NOA) - PRJ-003436
The NOA project was identified to provision non-person entity certificates (NPEC) and authentication, authorization and auditing (AM) services to the GC. Once implemented, the new service will centralize lifecycle management of NPECs and provide reports on A M transactions for the purpose of security auditing as well as compliance and service improvement.","$13,090,000","March 31, 2022","March 31, 2022",2.9,19,8555-421-2460,"May 1, 2019",1,0
ssc,sram,ssc-sram,Shared Services Canada,Secure Remote Access Migration,"Secure Remote Access Migration (SRAM) - PRJ-003434
The SRAM project was identified to renew and rationalize the existing secure remote access (SRA) infrastructure, as well as consolidate processing of SRA connections at the EDCs. The SRA service will provide GC users with the ability to securely connect to their departmental data and/or information system from a remote location (i.e. from outside the GC-managed perimeter) using their government-furnished endpoint (i.e. laptop, tablet and/or mobile device).","$18,680,000","March 31, 2023","March 31, 2023",3.9,20,8555-421-2460,"May 1, 2019",1,0
ssc,siem,ssc-siem,Shared Services Canada,Security Information and Event Management,"Security Information and Event Management (SIEM) - PRJ-003435
Once implemented, the SIEM project will enable the GC to predict, detect and respond to cyberthreats and risks to IT systems and infrastructure.","$72,721,000","March 31, 2023","March 31, 2023",3.9,21,8555-421-2460,"May 1, 2019",1,0
ssc,spfc,ssc-spfc,Shared Services Canada,Smart Phone for Classified,"Smart Phone for Classified (SPfC) - PRJ-003489
The objective of the SPfC project is to implement and operate secure mobile communications (voice and instant messaging) services and supporting infrastructure for Classified (Secret level) information.","$15,400,815","March 31, 2021","March 31, 2021",1.9,22,8555-421-2460,"May 1, 2019",1,0
ssc,gcsi,ssc-gcsi,Shared Services Canada,Government of Canada Secret Infrastructure Expansion,"GC Secret Infrastructure (GCSI) Expansion - PRJ-004069
The GCSI project is made up of three components:
GCSI Expansion will consolidate and rationalize the majority of the existing 31 secret infrastructures currently supported by SSC so that they may be operated more securely and cost effectively.
GCSI High Availability will provide the addition of the high availability and disaster recovery capabilities that are considered an operational necessity to support the availability requirements for GCSI. This is critical for many of the services that are being delivered or planned for the GCSI, including E-Cabinet in support of digitizing Cabinet business.","$93,881,406","March 31, 2024","March 31, 2024",4.9,23,8555-421-2460,"May 1, 2019",1,0
ssc,evas,ssc-evas,Shared Services Canada,"Endpoint Visibility, Awareness and Security","Endpoint Visibility, Awareness and Security (EVAS) - PRJ-004067
The EVAS project will provide enterprise-wide visibility of Internet-connected endpoint devices on GC networks.This will result in the enterprise Vulnerability Management Services (VMS) that will enable the GC to quickly and systematically identify IT vulnerabilities and prioritize the remediation of known vulnerabilities to reduce IT system and infrastructure risks. VMS will provide the GC with the ability to provide integrated and automated vulnerability detection and remediation across the enterprise.","$150,725,000","September 30, 2024","September 30, 2024",5.4,24,8555-421-2460,"May 1, 2019",1,1
ssc,sced,ssc-sced,Shared Services Canada,Secure Cloud Enablement and Defence Trusted Interconnection Points,"Secure Cloud Enablement and Defence - PRJ-004075
Implement GC Trusted Interconnection Points on the periphery of the GC network for the secured exchange of data with external organizations. A specialized perimeter will establish a network security zone with one or more private connections to reduce exposure to cyber threats and improve performance and reliability between the GC and external partners, and Cloud Service Providers (CSP) for Secure Cloud Enablement.","$48,162,000","October 31, 2023","October 31, 2023",4.5,25,8555-421-2460,"May 1, 2019",1,0
ssc,canada-usa-ipt,ssc-canada-usa-ipt,Shared Services Canada,Canada-USA IP Transport,"Canada-USA IP Transport - PRJ-002993
This project will support the infrastructure for interconnecting Canada and United States Department of National Defense/Department of Defense locations.","$5,910,043","December 2, 2019","December 2, 2019",0.6,26,8555-421-2460,"May 1, 2019",0,0
ssc,dcp1,ssc-dcp1,Shared Services Canada,Digital Communications Phase 1,"Digital Communications Phase 1 - PRJ-003424
The Digital Communications Program will deliver innovative, cost-effective support to the GC using new and emerging technological advances to support an interactive and collaborative workplace, improving the capabilities of SSC and its partner organizations as they serve Canadian citizens and businesses.","$20,663,221","December 15, 2020","December 15, 2020",1.6,27,8555-421-2460,"May 1, 2019",1,0
ssc,edc-montreal-1,ssc-edc-montreal-1,Shared Services Canada,EDC Montreal IT Establishment,"EDC Montreal IT Establishment - PRJ-003379
This project will implement initial compute, storage, network, and security footprint in the new Enterprise Data Centre Montreal, Additionally this project will implement infrastructure to streamline preparations for the Dorval Data Centre migration project.","$57,294,919","June 8, 2020","June 8, 2020",1.1,28,8555-421-2460,"May 1, 2019",1,0
ssc,edc-montreal-2,ssc-edc-montreal-2,Shared Services Canada,EDC Montreal Facility Establishment,"EDC Montreal Facility Establishment- PRJ-001940
This project will consist of two main phases: The first phase will include the planning and procurement activities and the second will concentrate on any retrofit activities required (i.e., power, ventilation, cabling, security).","$1,265,885","September 30, 2019","September 30, 2019",0.4,29,8555-421-2460,"May 1, 2019",0,0
ssc,emdm-1,ssc-emdm-1,Shared Services Canada,Enterprise Mobile Device Management,"Enterprise Mobile Device Management (EMDM) - PRJ-003338
The goal of the EMDM project is to provide a mobile device management service to SSC's partner community that will support secure Android and iOS devices to assure service continuity as well as continued support for the BlackBerry 10 devices.","$17,602,341","December 31, 2019","December 31, 2019",0.7,30,8555-421-2460,"May 1, 2019",1,0
ssc,dbaas,ssc-dbaas,Shared Services Canada,Database as a Service,"Data Base as a Service - PRJ-003779
This project will establish an SSC catalogued Database as an optional service for partners, through exploration of GC horizontal opportunities.","$1,425,000",,To be determined,,31,8555-421-2460,"May 1, 2019",0,0
ssc,gc-cluster,ssc-gc-cluster,Shared Services Canada,GC Cluster,"GC Cluster - PRJ-003781
This project will establish common infrastructure for partner departments (business and technology clusters) through exploration of GC horizontal opportunities.","$6,205,000",,To be determined,,32,8555-421-2460,"May 1, 2019",0,0
ssc,sap-hana,ssc-sap-hana,Shared Services Canada,SAP HANA Implementation,"SAP HANA Implementation - PRJ-003782
This project will establish a standardized platform to support the GC SAP HANA implementations for those departments who plan to migrate to this latest version of the SAP software in the next 2-4 years.","$1,425,000","March 1, 2020","March 1, 2020",0.8,33,8555-421-2460,"May 1, 2019",0,0
ssc,wlm-csps,ssc-wlm-csps,Shared Services Canada,Workload Migration of Canada School of Public Service Legacy Data Centres,"Workload Migration (WLM) of Canada School of Public Service {CSPS) Legacy Data Centres - PRJ-003784
This project is the CSPS WLM activities required to move the partner workloads from the legacy data centres to the Enterprise Data Centre.","$2,132,500","March 1, 2020","March 1, 2020",0.8,34,8555-421-2460,"May 1, 2019",0,0
ssc,wlm-statcan,ssc-wlm-statcan,Shared Services Canada,Workload Migration of Statistics Canada Legacy Data Centres,"Workload Migration (WLM) of Statistics Canada at Tunney's Pasture - PRJ-003421
This project is the Statistics Canada WLM activities required to move the partner workloads from the legacy data centres to the Enterprise Data Centre.","$65,298,000","March 1, 2021","March 1, 2021",1.8,35,8555-421-2460,"May 1, 2019",1,0
ssc,wlm-eccc,ssc-wlm-eccc,Shared Services Canada,Workload Migration of Environment and Climate Change Canada Legacy Data Centres,"Workload Migration (WLM) of Environment and Climate Change Canada (ECCC)
Dorval Legacy Data Centre - PRJ-003785 This project is the ECCC WLM activities required to move the partner workloads from the legacy data centres to the Enterprise Data Centre.","$52,925,000","October 1, 2021","October 1, 2021",2.4,36,8555-421-2460,"May 1, 2019",1,0
ssc,wlm-psc,ssc-wlm-psc,Shared Services Canada,Workload Migration of Public Service Commission Legacy Data Centres,"Workload Migration (WLM) of Public Service Commission (PSC) Legacy Data Centres - PRJ-003786
This project is the PSC WLM activities required to move the partner workloads from the legacy data centres to the Enterprise Data Centre.","$1,970,000",,To be determined,,37,8555-421-2460,"May 1, 2019",0,0
ssc,wlm-lac,ssc-wlm-lac,Shared Services Canada,Workload Migration of Library and Archives Canada Legacy Data Centres,"Workload Migration (WLM) of Library and Archives Canada (LAC) Legacy Data Centres - PRJ-003787
This project is the LAC WLM activities required to move the partner workloads from the legacy data centres to the Enterprise Data Centre.","$1,424,500","March 1, 2021","March 1, 2021",1.8,38,8555-421-2460,"May 1, 2019",0,0
ssc,wlm-dnd,ssc-wlm-dnd,Shared Services Canada,Workload Migration of Department of National Defence Legacy Data Centres,"Workload Migration {WLM) of the Department of National Defense (DND) Legacy Data Centres - PRJ-003791
This project is the DND WLM activities required to move the partner workloads from the legacy data centres to the Enterprise Data Centre.","$39,485,000","March 1, 2021","March 1, 2021",1.8,39,8555-421-2460,"May 1, 2019",1,0
ssc,wlm-cra-cbsa,ssc-wlm-cra-cbsa,Shared Services Canada,Workload Migration of Canada Revenue Agency and Canada Border Services Agency Legacy Data Centres,"Workload Migration (WLM) of the Canada Revenue Agency (CRA) and the Canada Border Services Agency {CBSA) Legacy Data Centres I WLM Planning for Data Centre St. Laurent {DCSL) Closure - PRJ-003792
This project is the CRA and CBSA WLM activities required to move the partner workloads from the legacy data centres to the Enterprise Data Centre.","$66,809,000","June 1, 2024","June 1, 2024",5.1,40,8555-421-2460,"May 1, 2019",1,0
ssc,wlm-pspc,ssc-wlm-pspc,Shared Services Canada,Workload Migration of Public Services and Procurement Canada Legacy Data Centres,"Workload Migration (WLM) of Public Services and Procurement Canada (PSPC) Aviation Parkway Data Centre (APDC) Legacy Data Centres - PRJ-003793
This project is the PSPC APDC data centre activities required to move the partner workloads from the legacy data centres to the Enterprise Data Centre.","$32,023,000","March 1, 2020","March 1, 2020",0.8,41,8555-421-2460,"May 1, 2019",1,0
ssc,wlm-aafc,ssc-wlm-aafc,Shared Services Canada,Workload Migration of Agriculture and Agri-Food Canada Legacy Data Centres,"Workload Migration (WLM) of the Agriculture and Agri-Food Canada (AAFC) Legacy Data Centres - PRJ-003794
This project is the AAFC WLM activities required to move the partner workloads from the legacy data centres to the Enterprise Data Centre.","$2,465,000",,To be determined,,42,8555-421-2460,"May 1, 2019",0,0
ssc,wlm-ised,ssc-wlm-ised,Shared Services Canada,"Workload Migration of Innovation, Science, and Economic Development Canada Legacy Data Centres","Workload Migration (WLM) of the Innovation, Science and Economic Development Canada (ISED) Legacy Oat~ Centres - PRJ- 003795
This project is the ISED WLM activities required to move the partner workloads from the legacy data centres to the Enterprise Data Centre.","$4,775,000",,To be determined,,43,8555-421-2460,"May 1, 2019",0,0
ssc,wlm-nrcan,ssc-wlm-nrcan,Shared Services Canada,Workload Migration of Natural Resources Canada Legacy Data Centres,"Workload Migration (WLM) of the Natural Resources Canada (NRCan) Legacy Data Centres - PRJ-003796
This project is the NRCan WLM activities required to move the partner workloads from the legacy data centres to the Enterprise Data Centre.","$13,063,000","March 1, 2020","March 1, 2020",0.8,44,8555-421-2460,"May 1, 2019",1,0
ssc,wlm-cfia,ssc-wlm-cfia,Shared Services Canada,Workload Migration of Canadian Food Inspection Agency Legacy Data Centres,"Workload Migration (WLM} of the Canadian Food Inspection Agency (CFIA) Legacy Data Centres - PRJ-003797
This project is the CFIA WLM activities required to move the partner workloads from the legacy data centres to the Enterprise Data Centre.","$1,752,500",,To be determined,,45,8555-421-2460,"May 1, 2019",0,0
ssc,cloud-arch,ssc-cloud-arch,Shared Services Canada,Cloud Architecture,"Cloud Architecture - PRJ-003800
The Managed Infrastructure as a service initiative seeks to address the significant backlog in providing server and storage infrastructure to support partner projects in a timely and agile manner to meet partner development timelines. This proposal will allow for the streamlining of the design, acquisition, deployment and operation of standard Windows and Linux Virtual machines and their associated integration to SSC and partner lead projects. The addition of design and integration services at the front end of a project engagem_ent, as well as added operational resources that form a managed service will provide SSC with the required agility and velocity to address this backlog.","$18,000,000",,To be determined,,46,8555-421-2460,"May 1, 2019",1,0
ssc,vc-3,ssc-vc-3,Shared Services Canada,Videoconferencing Phase 3,"Video-conferencing (VC) Phase Ill - PRJ-005398
The VC Phase Ill Project is the next phase of transformation of video-conferencing services for the Government of Canada. Phase Ill will continue efforts to encourage adoption the SSC Enterprise VC Services by partners.","$28,761,000","March 1, 2021","March 1, 2021",1.8,47,8555-421-2460,"May 1, 2019",1,0
ssc,nt,ssc-nt,Shared Services Canada,Network Transformation,"Network Transformation - PRJ-003471
This project will develop a GC enterprise network strategy which will: define and establish the GC enterprise network architecture and services required to deliver Canada's digital platform; and identify and establish the SSC capabilities required to implement and support the enterprise network.","$20,397,500","March 31, 2021","March 31, 2021",1.9,48,8555-421-2460,"May 1, 2019",1,0
ssc,sam,ssc-sam,Shared Services Canada,Software Asset Management,"Software Asset Management - PRJ-003770
This project will implement an enterprise Software Asset Management discipline, including enabling tool, to improve the management of licenses for Data Centre, Network, Email and Security software.","$5,380,000","March 31, 2021","March 31, 2021",1.9,49,8555-421-2460,"May 1, 2019",0,0
ssc,ecc,ssc-ecc,Shared Services Canada,Integrated Enterprise Command Centre,"Integrated Enterprise Command Centre (ECC) - PRJ-003771
The Integrated ECC Service project will consolidate, centralize, and modernize the monitoring command and control of SSC shared IT infrastructure. The goal of the project is to consolidate the many existing monitoring sites (11) into the fewest possible, taking into consideration security, back-up requirements, staffing shortages, etc.","$4,834,000","March 31, 2021","March 31, 2021",1.9,50,8555-421-2460,"May 1, 2019",0,0
ssc,cmp,ssc-cmp,Shared Services Canada,Cloud Management Platform,"Cloud Management Platform (CMP) - PRJ-003768
The CMPs are integrated products that provide for the management of public, private and hybrid cloud environments. The main objective of the CMP project is to implement the Cloud based Data Centre Enabling Services to provide partner-facing services. Collectively they will enable the GC information management/ IT components to provide services to Canadians and Canadian businesses.","$29,503,914","March 31, 2021","March 31, 2021",1.9,51,8555-421-2460,"May 1, 2019",1,0
ssc,edc-borden-2,ssc-edc-borden-2,Shared Services Canada,EDC Borden Expansion IT Establishment Phase 2,"EDC Borden Expansion IT Establishment 2 - PRJ-003032
The main objective of the EDC Borden Expansion IT Establishment project is to implement the Data Centre Enabling Services to provide partner-facing services. Collectively they will enable the GC IT components to provide services to Canadians and Canadian businesses. This project will implement initial compute, storage, network, and security footprint in the newly established Borden EDC.","$59,572,512","March 31, 2021","March 31, 2021",1.9,52,8555-421-2460,"May 1, 2019",1,0
ssc,ea,ssc-ea,Shared Services Canada,QualiWare Enterprise Architecture Tool,"Enterprise Architecture (EA) Tool - QualiWare- PRJ-004225
The main objective of this project is to implement an EA tool (Qualiware) across SSC.","$3,302,000","July 1, 2020","July 1, 2020",1.2,53,8555-421-2460,"May 1, 2019",0,0
ssc,emdm-2,ssc-emdm-2,Shared Services Canada,Enterprise Mobile Device Management Evolution,"EMDM Evolution - PRJ-005977
This project will examine the next evolution of the EMDM service including examining alternative options to deliver a modern client-facing full feature mobility management capability for the GC.","$9,000,000","March 31, 2021","March 31, 2021",1.9,54,8555-421-2460,"May 1, 2019",0,0
dnd,tcds-us,dnd-tcds-us,National Defence,Transfer Cross Domain Solution,Transfer Cross Domain Solution - CDMN and US Led Coalition (BICES - X): This project supports the design and testing of an Enterprise Cross Domain and Caveat Transfer Solution (CDCTS).,"$4,989,628","March 31, 2020",March 2020,0.9,55,8555-421-2460,"May 1, 2019",0,0
dnd,drmis,dnd-drmis,National Defence,Defence Resources Management Information System,Defence Resources Management lnformation System P9 Server Expansion will procure and install two P9 servers which will provide additional server capacity.,"$4,424,567","June 1, 2019",2019-06-01,0.1,56,8555-421-2460,"May 1, 2019",0,0
dnd,cwan,dnd-cwan,National Defence,Coalition Wide-Area Network Redundant Connectivity and Engineering Test Build,"Coalition Wide-Area Network (CWAN) Redundant Connectivity and Engineering Test Build will provide two key deliverables; 1) CWAN Redundancy to properly support the quickly expanding, operationally critical systems that contribute to our ability to interoperate with international partners and allies, and 2) CWAN Test Build that will establish a design and validation environment to safely and effectively evolve the CWAN to the level required as per Strong, Secure, Engaged .","$4,424,544","June 1, 2021",2021-06-01,2.1,57,8555-421-2460,"May 1, 2019",0,0
dnd,csni-enmm,dnd-csni-enmm,National Defence,Consolidated Secret Network Infrastructure Enterprise Network Management and Monitoring,Consolidated Secret Network Infrastructure EnterQrise Network Management and Monitoring will introduce network management and monitoring systems for the Consolidated Secret Network Infrastructure which is critical infrastructure for the CAF and interoperability with our allies.,"$4,424,000","September 1, 2019",2019-09-01,0.3,58,8555-421-2460,"May 1, 2019",0,0
dnd,dse-fle,dnd-dse-fle,National Defence,Data Security Enhancements File Labeling and Encryption,"Data Security Enhancements File Labeling and EnC[YQtion takes the next step of strengthening data security for the DND/CAF by enhancing labelling, audit and access restriction capabilities to protect information management/information technology data confidentiality and integrity.","$4,415,000","September 1, 2019",2019-09-01,0.3,59,8555-421-2460,"May 1, 2019",0,0
dnd,cs-dpac,dnd-cs-dpac,National Defence,Cyber Security Defence Preparedness Assessment Capability,Cyb!;1r Security Defence Preparedness Assessment CaQability will provide centralized management of security and preparedness related activities across the enterprise through the use of a platform allowing integration of data and the automation of business processes.,"$4,410,000","March 31, 2021",March 2021,1.9,60,8555-421-2460,"May 1, 2019",0,0
dnd,ctdc-ilirc,dnd-ctdc-ilirc,National Defence,Classifed Test & Development Centre Command & Control Military Inter-Local Infrastructure Room Connectivity,"Classified Test & DeveloQment Centre Command & Control Milita[Y Inter-Local Infrastructure Room Connectivity will establish a remote access service, data migration services and business continuity with geographically diverse data protection for both the Classified Test and Development Centre and Consolidated Secret Network Infrastructure production.","$4,407,500","January 31, 2020",January 2020,0.8,61,8555-421-2460,"May 1, 2019",0,0
dnd,iti,dnd-iti,National Defence,Information Technology Infrastructure Enhancement,Information Technology Infrastructure (ITI) Enhancement will design and procure the fundamental building blocks required to address short term deficiencies with the DND/CAF ITI and to prepare the enterprise Infrastructure for the follow-on ITI in Support of Command and Control major capital project.,"$4,401,758","March 31, 2021",March 2021,1.9,62,8555-421-2460,"May 1, 2019",0,0
dnd,nrs-esquimalt,dnd-nrs-esquimalt,National Defence,Albert Head Transceiver Replacement,Albert Head Transceiver ReQlacement - Naval Radio Station (NRS) Esguimalt & SUQQOrt Facilities will improve the ability for the CAF Maritime Pacific to exercise command & control to surface and sub-surface vessels within the Maritime Forces Pacific (MARPAC) area of responsibility. It will also enable the Regional Joint Operations Centre to leverage this upgrade for Search and Rescue operations.,"$4,400,000","November 30, 2019",November 2019,0.6,63,8555-421-2460,"May 1, 2019",0,0
dnd,sccmd,dnd-sccmd,National Defence,Secure Smart Phone,Secure Smart Phone will provide a classified smart phone solution to the Canadian Special Operations Forces Command and will bridge the gap between the end-of-life of the Sectera wireless Global System for Mobile (GSM) phone and the new secure mobile voice solution that will be developed by the Secure Command and Control Mobile Device major capital project.,"$4,400,000","March 31, 2021",March 2021,1.9,64,8555-421-2460,"May 1, 2019",0,0
dnd,nrs-rms,dnd-nrs-rms,National Defence,Ship/Shore High Frequency Radio Messaging System,"ShiQ/Shore High Frequency (HF) Radio Messaging System will update HF receiver antenna matrices, direction finding antennas and controllers, HF receivers, audio matrices, digital switches, radio control, and message handling systems and operator consoles at the two Naval Radio Stations on the east and west coasts. II will also update the equipment at the training and software integration labs.","$4,400,000","March 31, 2020",March 2020,0.9,65,8555-421-2460,"May 1, 2019",0,0
dnd,stcscr,dnd-stcscr,National Defence,Strategic Telecommunication Tower Replacement,Strategic Tower Canadian Standards ComQliance and Reconstitution will see the replacement of strategic antennas and towers at various sites across Canada.,"$4,380,531","March 31, 2020",March 2020,0.9,66,8555-421-2460,"May 1, 2019",0,0
dnd,c2,dnd-c2,National Defence,Monitoring Command & Control,Monitoring Command & Control (C2) and Intelligence Infrastructure will support new and existing monitoring and audit requirements for C2 and Intelligence Infrastructure.,"$4,350,000","March 31, 2020",March 2020,0.9,67,8555-421-2460,"May 1, 2019",0,0
dnd,caf-cloud-css,dnd-caf-cloud-css,National Defence,CAF Cloud Programme Cloud Security Services,"CAF Cloud Program - Cloud Security Services will provide security architecture and engineering guidance, documentation and a Proof of Concept (PoC) implementation of the security controls and services necessary to allow the DND/CAF to adopt Public and Private Cloud technology in a secure manner.","$4,346,000","April 30, 2021",April 2021,2.0,68,8555-421-2460,"May 1, 2019",0,0
dnd,caf-cloud-dte,dnd-caf-cloud-dte,National Defence,CAF Cloud Programme Private Cloud Development & Testing Environment (Lab),CAF Cloud Program - Priv1:1te Cloud DeveloQment & Testing Environment (Lab) will allow easy access to a set of Private Cloud capabilities to meet the needs for test and development users and workloads.,"$4,300,000","September 30, 2019",September 2019,0.4,69,8555-421-2460,"May 1, 2019",0,0
dnd,cs-training,dnd-cs-training,National Defence,Interim Cyber Training Capability,"Interim Cyber Training Capability will provide the DND/CAF with the fundamental building blocks to train Cyber Forces and operational staff, both individually and collectively, to secure and defend DND/CAF networks.","$4,280,000","August 31, 2020",August2020,1.3,70,8555-421-2460,"May 1, 2019",0,0
dnd,tcds-nato,dnd-tcds-nato,National Defence,Transfer Cross Domain Solution - NATO Command & Control Systems,"Transfer Cross Domain Solution - NATO Command & Control Systems will design, engineer, test and accredit a standardized enterprise solution to provide the ability to transfer data between the Consolidated Secret Network Infrastructure and the NATO Secret Wide Area Network, the NATO command & control system hosting command and control and functional applications (i.e. Logistics and Intelligence).","$4,280,000","March 1, 2020",2020-03-01,0.8,71,8555-421-2460,"May 1, 2019",0,0
