deptAcronym,shortcode,uniqueId,department,latestProjectName,latestDescription,numOfEntries,originalBudget,latestBudget,originalBudgetSource,latestBudgetSource,originalEstimatedCompletionDate,latestEstimatedCompletionDate,originalEstimatedCompletionDateSource,latestEstimatedCompletionDateSource,budgetDelta,budgetDeltaPercentage,datesDelta,estimatedStatus,isOver10M,isOver100M
aafc,gcdp-crm-2,aafc-gcdp-crm-2,Agriculture and Agri-Food Canada,Grants and Contributions Digital Platform (GCDP) Release 2,"As follow-up to GCDP Release 1, this project will seek to onboard NPF (Next Policy Framework) programs, integrate SAP commitment and claims payment functions, enhance other areas of the GCDP system.",1,2764300,2764300,2022,2022,2023-06-30,2023-06-30,2022,2022,,,,new,0,0
aafc,gcsi,aafc-gcsi,Agriculture and Agri-Food Canada,Government of Canada Secret Infrastructure,"Onboarding to Interim Government of Canada Secr_etlnfrastructure (IGCSI) Implementation - In support of the requirement to protect classified information assets, Shared Services Canada. will implement the technology required to onboard MFC to the Interim Government of Canada Secret Infrastructure (iGCSI) system. iGCSI is authorized for storing and processing Classified information up to Level II Secret and is currently used by a number of other deoartments.",1,1038000,1038000,2016,2016,2017-03-31,2017-03-31,2016,2016,,,,completed,0,0
aafc,grdi-cloud,aafc-grdi-cloud,Agriculture and Agri-Food Canada,GRDI GenARCC + Cloud HPC Pilot,"The next Genomics and Development Research Initiative (GRDI) funded shared priorities project named Genomic Adaptation and Resilience to Climate Change (GenARCC) requires IT resources in order to explore using genomics to assess, predict, and adapt to climate change for the protection of Canada's biodiversity, ecosystem resiliency, food security, and health. Shared project among eight Government of Canada departments: AAFC, CFIA, DFO, ECCC, HC, NRC, NRCAN, and PHAC. Showing grand total combined cost, not just AAFC portion.",1,2559000,2559000,2022,2022,2025-03-31,2025-03-31,2022,2022,,,,new,0,0
aafc,grdisppdap,aafc-grdisppdap,Agriculture and Agri-Food Canada,Genomics Research and Development Initiative,Genomics Research and Development Initiative Shared Priorities Projects Data Analysis Pla.tform - This platform will sit on the the GRDI infrastructure project being delivered by Shared Services Canada.,1,1730000,1730000,2016,2016,2019-03-31,2019-03-31,2016,2016,,,,completed,0,0
aafc,it-sdm,aafc-it-sdm,Agriculture and Agri-Food Canada,Service Desk Modernization,"Service Desk Modernization - Improve first line resolution, service desk operations and service performance of MFC's IT Client Services.",1,3378000,3378000,2019,2019,,,,,,,,unknown (past due),0,0
aafc,itsm-solution,aafc-itsm-solution,Agriculture and Agri-Food Canada,Enterprise ITSM (Information Technology Service Management) Solution Modernization,"Consistent with the Government of Canada Strategy for Information Technology Service Management (ITSM), AAFC will implement the GC standard software ITSM suite. This project involves all activities related to designing, creating, delivering, supporting, and managing the lifecycle of IT services. ITSM tools serve as the main methodology for an organization to deliver technology and IT-related services to it’s clients internally or externally.",1,2530000,2530000,2022,2022,2024-10-31,2024-10-31,2022,2022,,,,new,0,0
aafc,ll-data-platform,aafc-ll-data-platform,Agriculture and Agri-Food Canada,Initial Infrastructure for Living Labs (LL),The Living Labs Division and local scientific staff will collect and store data generated by its projects in an integrated data platform. This activity will involve ensuring data storage and collection standards and mechanisms are aligned with the broader AAFC-STB (Science and Technology Branch) data agenda and ensure consistency of data collection and format across projects.,1,1018000,1018000,2022,2022,2022-07-30,2022-07-30,2022,2022,,,,new,0,0
aafc,lti,aafc-lti,Agriculture and Agri-Food Canada,Library Transformation Initiative,Library Transformation Initiative - Modernizing the delivery of information services and centralization of science related resources in partnership with other science departments.,1,2788000,2788000,2016,2016,2017-03-31,2017-03-31,2016,2016,,,,completed,0,0
aafc,m365-1,aafc-m365-1,Agriculture and Agri-Food Canada,M365 - DCCP (Digital Communications and Collaboration Platform) Platform Set Up and Outlook Migration,"To implement the Government of Canada Digital Communications and Collaboration Platform (DCCP) to ensure AAFC has the core tools and services for modern, secure, and reliable digital communications, including email, needed to serve Canadians.",1,7670000,7670000,2022,2022,2023-06-30,2023-06-30,2022,2022,,,,new,0,0
aafc,m365-2,aafc-m365-2,Agriculture and Agri-Food Canada,M365 - Office Suite Migration,"To assess, procure and implement cloud-based office software and digital collaboration tools in alignment with the Government of Canada's digital vision and Cloud-First adoption strategy. M365 functionality will be expanded beyond core applications to respond to the highest priority items and initiatives.",1,1578000,1578000,2022,2022,2023-06-30,2023-06-30,2022,2022,,,,new,0,0
aafc,maa-portal,aafc-maa-portal,Agriculture and Agri-Food Canada,Modernization of MAA (My AAFC Account) Portal Platform Software,Modernization of the My AAFC Account Portal addresses aging technology and allows AAFC to support farmers using modern software while streamlining and optimizing functionality.,1,3794700,3794700,2022,2022,2022-07-25,2022-07-25,2022,2022,,,,new,0,0
aafc,maa-portal-2,aafc-maa-portal-2,Agriculture and Agri-Food Canada,My AAFC Account (MAA) - AgriStability and Agrilnvest Enhancements,To shift from paper to digital correspondence for AgriInvest and AgriStability through improvements made to the My AAFC Account portal.,1,1200000,1200000,2022,2022,2023-06-30,2023-06-30,2022,2022,,,,new,0,0
aafc,ogii,aafc-ogii,Agriculture and Agri-Food Canada,Open Government Implementation Initiative,"Open Government Implementation Initiative-To develop the Inventory, processes, datasets, workflows, guides, and checklists required for the loublication of MFC data to the TBS Open Government portal.",1,2724000,2724000,2016,2016,2020-03-31,2020-03-31,2016,2016,,,,completed,0,0
aafc,peoplesoft-renewal,aafc-peoplesoft-renewal,Agriculture and Agri-Food Canada,PeopleSoft Upgrade,"The Government of Canada’s HR Services Modernization is aimed at enhancing the efficiency of HR service delivery while taking advantage of economies of scale through the standardization of HR processes. By working as a cluster, the GC strategic outcomes of economies of scale have already been realized by the PeopleSoft Shared Service. We are transitioning to the GC standard version of PeopleSoft. Shared project among five Government of Canada departments: AAFC, CFIA, SSC, HC, and PHAC. Showing grand total combined cost, not just AAFC portion.",1,4631600,4631600,2022,2022,2023-03-31,2023-03-31,2022,2022,,,,new,0,0
aafc,pssstp,aafc-pssstp,Agriculture and Agri-Food Canada,MyGCHR,"PeopleSoft Shared Service Transition Project - Transition to the new, TBS mandated, HR service system (My GC HR), One Process (the Common Human Resources Business Processes - CHRBP), and One Set of Data (Common Configuration Standard).",1,6279429,6279429,2016,2016,2016-12-01,2016-12-01,2016,2016,,,,completed,0,0
aafc,regional-wifi,aafc-regional-wifi,Agriculture and Agri-Food Canada,Regional Wi-Fi implementation,Wi-Fi implementation supports the hybrid model of AAFC's Future of Work and employees' return to offices. This is an opportunity for AAFC to implement and deploy the Government of Canada (GC) Wi-Fi Service (Enterprise Access) in prioritized Regional leased and Crown-owned buildings (e.g. Regional Development Centres) across Canada.,1,7000000,7000000,2022,2022,2025-03-31,2025-03-31,2022,2022,,,,new,0,0
aafc,rpms,aafc-rpms,Agriculture and Agri-Food Canada,Real Property Management Solution (RPMS),"Having a Real Property Management System will enable the department to better manage and assess the implications of the Federal Science Technology Infrastructure Initiative, be better prepared to implement recommendations from the Fixed Asset Review, and potentially position the department to prepare the necessary reports to support requests for additional infrastructure funding.",1,3583000,3583000,2022,2022,2023-06-30,2023-06-30,2022,2022,,,,new,0,0
aafc,sap-renewal,aafc-sap-renewal,Agriculture and Agri-Food Canada,SAP Infrastructure Renewal,AAFC SAP Infrastructure Renewal - Upgrade and modernize the underlying SAP platform to reduce business risk and improve efficiency of operations.,1,4840710,4840710,2019,2019,2019-06-25,2019-06-25,2019,2019,,,,completed,0,0
aafc,sap-renewal-2,aafc-sap-renewal-2,Agriculture and Agri-Food Canada,SAP S/4  - Planning and Transition,"To transition to the SAP S/4 on HANA for financial management and materiel management systems while aligning to the Government of Canada SAP footprint and the proposed SAP model company for government of Canada configuration with defined standardized business processes. Shared project among seven Government of Canada departments: AAFC, CFIA, NRCAN, ECCC, VAC, CNSC, OCEO. Showing grand total combined cost, not just AAFC portion.",1,6102700,6102700,2022,2022,2024-01-31,2024-01-31,2022,2022,,,,new,0,0
aafc,sms-renewal,aafc-sms-renewal,Agriculture and Agri-Food Canada,STB (Science and Technology Branch) Science Management System,"Science and Technology Branch (STB) utilizes the Science Management Solution (SMS) for the management and delivery of AAFC research activities. The SMS system was built on an aging platform and is no longer able to fully support core business of the branch, therefore STB needs to identify and implement a new system that is able to support the branch.",1,12000000,12000000,2022,2022,2025-03-31,2025-03-31,2022,2022,,,,new,1,0
aafc,software-catalogue-chatbot,aafc-software-catalogue-chatbot,Agriculture and Agri-Food Canada,AI (Artificial Intelligence) Chatbot for Software acquisition process,To improve the software approval and acquisition process by the creation of a service catalogue with software status information that will leverage artificial intelligence to enable user self-service and the ability to direct the request to the appropriate delivery team.,1,1035400,1035400,2022,2022,2022-09-30,2022-09-30,2022,2022,,,,new,0,0
aafc,sp-gcdocs,aafc-sp-gcdocs,Agriculture and Agri-Food Canada,SharePoint/GCdocs,SharePoint/GCDocs Foundation project - Provide AAFC employees with an integrated platform for documents and records management. Migration to GCDocs Solution • Develop interoperability solution to enable legacy applications to interface with GCDocs.,1,2300000,2300000,2019,2019,,,,,,,,unknown (past due),0,0
aafc,supsd,aafc-supsd,Agriculture and Agri-Food Canada,Secure Use of Portable Storage Devices,"Secure Use of Portable Storage Devices - In order to adhere to TBS direction, MFC will need to develop and implement policy Instruments, technology and supporting processes to ensure that GC devices are encrypted and properly managed and that non-GC devices will become read only and scanned to reduce the likelihood of malware introduction when attached to the network.",1,1668288,1668288,2016,2016,2016-10-31,2016-10-31,2016,2016,,,,completed,0,0
aafc,web-cms,aafc-web-cms,Agriculture and Agri-Food Canada,Content Management System (CMS) Solution,"Implementation of a web content management solution that uses standard content templates and workflows to create, manage, and publish web content to public-facing AAFC websites.",1,1040600,1040600,2022,2022,2022-07-26,2022-07-26,2022,2022,,,,new,0,0
aafc,weblogic-renewal,aafc-weblogic-renewal,Agriculture and Agri-Food Canada,WebLogic Modernization Project,"To make the database platform more robust, prolong the sustainability of database systems, and ensure capacity availability for ongoing business operations.",1,1425000,1425000,2022,2022,2025-03-31,2025-03-31,2022,2022,,,,new,0,0
aafc,wmi,aafc-wmi,Agriculture and Agri-Food Canada,Workload Migration,Workload Migration Implementation - To complete migration for 4 systems to the Enterprise Data Centre (EDC) with adequate network connectivity. Also Included Is the migration of approximately 20 applications off the Windows 2003 server.,1,1045000,1045000,2016,2016,2017-03-31,2017-03-31,2016,2016,,,,completed,0,0
aafc,wmi-2,aafc-wmi-2,Agriculture and Agri-Food Canada,Workload Migration (WLM) Readiness,"The Workload Migration (WLM) Program led by SSC (Shared Services Canada), facilitates the migration of government applications and data from aging legacy data centres to modern, secure and reliable IT solutions – whether Cloud, enterprise data centre (EDC) or a hybrid of both. The purpose is to support the enablement of trusted and secure digital services to Canadians and clients.",1,3630000,3630000,2022,2022,2024-03-31,2024-03-31,2022,2022,,,,new,0,0
aafc,wri,aafc-wri,Agriculture and Agri-Food Canada,Web Renewal Initiative,"Web Renewal Initiative - All active web content, including some applications, must be migrated to Canada.ca by December 2017. The main business driver and goal for the MFC Web Renewal Project is to achieve comoliance with the TBS-lead Web Renewal Initiative.",1,1331000,1331000,2016,2016,2017-12-31,2017-12-31,2016,2016,,,,completed,0,0
acoa,capri,acoa-capri,Atlantic Canada Opportunities Agency,New software application called CAPRI (Clients Assistance Projects Results Information) to be used as ACOA's primary system for delivering grants and contributions to businesses and communities in Atlantic Canada. This is a web application based on Microsoft Dynamics 365 (D365) software as a service (SaaS) platform.,Software application to manage the delivery of grants and contributions,1,1800000,1800000,2022,2022,2023-02-28,2023-02-28,2022,2022,,,,new,0,0
acoa,gcpm,acoa-gcpm,Atlantic Canada Opportunities Agency,Government of Canada Program Management (GCPM) for Regional Development Agencies,"Government of Canada Program Management (GCPM): The design and build of a common, modern, and client-centric IM/IT system to support online delivery of the Regional Development Agencies' grants and contribution mandate. The proposed system would replace the agencies' inefficient and obsolete systems, offering various levels of automation and using a combination of applications.",1,2823289,2823289,2016,2016,2019-03-31,2019-03-31,2016,2016,,,,completed,0,0
atssc,cms,atssc-cms,Administrative Tribunals Support Service of Canada,Canadian Industrial Relations Board Case Management System Project,Canada Industrial Relations Board - Case Management System Project,1,3583707,3583707,2019,2019,2020-06-30,2020-06-30,2019,2019,,,,completed,0,0
cannor,gcpm,cannor-gcpm,Canadian Northern Economic Development Agency,Government of Canada Program Management (GCPM) for Regional Development Agencies,"Government of Canada Program Management (GCPM): The design and build of a common, modern, and client-centric IM/IT system to support online delivery of the Regional Development Agencies' grants and contribution mandate. The proposed system would replace the agencies' inefficient and obsolete systems, offering various levels of automation and using a combination of applications.",1,464605,464605,2016,2016,2019-03-31,2019-03-31,2016,2016,,,,completed,0,0
cbsa,apm,cbsa-apm,Canada Border Services Agency,Application Modernization,Modernize and migrate to the Cloud 85 the CBSA corporate and business lines applications.,2,56137655,56137655,2022,2022,2026-03-31,2026-03-31,2022,2022,,,,new,1,0
cbsa,apm-infrastructure,cbsa-apm-infrastructure,Canada Border Services Agency,Rationalization & Optimization,"A stable, scalable information technology platform with sufficient bandwidth for growing business volumes and responsive and accessible information management and information technology services is a fundamental underpinning for digital, secure, and sustainable CBSA operations.",1,194898368,194898368,2022,2022,2026-03-31,2026-03-31,2022,2022,,,,new,1,1
cbsa,ardp,cbsa-ardp,Canada Border Services Agency,Accelerated Radio Deployment Project,"The CBSA is moving aggressively to deploy modern digital radios to frontline officers to improve health and safety and ensure we are connected with public safety networks during times of emergency , including the ongoing support and life-cycle management of these assets.",1,21683052,21683052,2022,2022,2023-09-30,2023-09-30,2022,2022,,,,new,1,0
cbsa,arrivecan,cbsa-arrivecan,Canada Border Services Agency,ArriveCan,"Travellers will be able to submit their declaration in advance of their arrival in Canada, and complete a simplified kiosk transaction focusing on capturing an identity document and identity confirmation.",1,46424605,46424605,2022,2022,2023-09-18,2023-09-18,2022,2022,,,,new,1,0
cbsa,asylum-interop,cbsa-asylum-interop,Canada Border Services Agency,Asylum Interoperability,"CBSA will work with Immigration, Refugee and Citizenship Canada to implement changes to existing functionality to increase efficiencies in Global Case Management System including automation, usability, optical character recognition, and increased storage.",1,8060987,8060987,2022,2022,2022-12-31,2022-12-31,2022,2022,,,,new,0,0
cbsa,atdp,cbsa-atdp,Canada Border Services Agency,Alternative to Detention Management Tools,"Alternative to Detention The CBSA to develop 'ATD release management' tools, under the umbrella of the ATD Program, to allow for the release of as many eligible individuals as possible from detention. The ATD Program is to be defined in an interdependent multi-scoped package that will introduce national compliance and release management tools.",1,,,,,,,,,,,,unknown (past due),0,0
cbsa,biometric-expansion,cbsa-biometric-expansion,Canada Border Services Agency,Biometrics Expansion,"Biometric Expansion The scope of the expansion project will include three broad components: • Collection: Collect biometric information from all (currently only collect from citizens of 30 countries) foreign nationals (excluding U.S. nationals) applying for a temporary resident visa, work permit, study permit, or temporary resident permit; and al! permanent residence applicants. • Verification: Introduce systematic fingerprint verification for all biometrically enrolled travellers at major airports and expand fingerprint verification at additional ports of entry (i.e. airports and land borders). • Information sharing: Increase biometric information sharing between Canada and the U.S., and introduce biometric information sharing with the other MiQration 5 (formerly known as FCC - Five Countrv Conference) partners (Australia United Kinqdom and New Zealand).",2,65800000,71000000,2016,2019,2019-03-31,2019-11-30,2016,2019,5200000,7.9,0.67,behind schedule,1,0
cbsa,caed,cbsa-caed,Canada Border Services Agency,Canadian Export Declarations System,"New Export System: Canadian Export Declarations system (CAED) Replacement · This tool will ensure that the CBSA maintains its ability to gather export data electronically, maintain existing risk assessment methodologies and ,.,;11 ., .. t th .. fn, mri::ltinn fnr , ""' ,,, in th .. f11t11r..",1,,,,,,,,,,,,unknown (past due),0,0
cbsa,carm,cbsa-carm,Canada Border Services Agency,CBSA Accounts Revenue Management (CARM),"CBSA Accounts Revenue Management (CARM) The CARM Project is modernizing and streamlining CBSA trade processes and revenue management by: • introducing the ability to identify and track commercial clients by their Government of Canada business number; • providing commercial clients with online program registration, account management, and payment abilities; • replacing, integrating, and/or automating current revenue management and Information Management/Information Technology systems assessment; and • modernizinQ trade and revenue manaQement processes throuqh reenQineerinQ and modernization.",2,371502595,371500000,2016,2019,2020-03-31,2021-07-31,2016,2019,-2595,-0,1.33,behind schedule,1,1
cbsa,carm-2,cbsa-carm-2,Canada Border Services Agency,CBSA Assessment & Revenue Management (CARM),Will modernize and streamline CBSA trade processes and revenue management.,1,31191066,31191066,2022,2022,2022-10-17,2022-10-17,2022,2022,,,,new,1,0
cbsa,cas,cbsa-cas,Canada Border Services Agency,Corporate Accounting System Project System,"CAS Project System (PS) The implementation of Corporate Accounting System (CAS) Project System (PS) will enable improved and standardized project financial management through the integration of purchasing, payments, and timesheets data to a Work Breakdown Structure Element (WBSE) in r.11c",1,3723293,3723293,2016,2016,2016-05-07,2016-05-07,2016,2016,,,,completed,0,0
cbsa,cers,cbsa-cers,Canada Border Services Agency,Canadian Export Reporting System (CERS) and Canadian Automated Export Declarations system (CAED),"Canadian Export Reporting System (CERS), also known as Canadian Automated Export Declarations system (CAED) Replacement This tool will ensure that the CBSA maintains its ability to gather export data electronically, maintain existing risk assessment methodologies, and will set the foundation for proqram development in the future.",1,6500000,6500000,2019,2019,2020-03-31,2020-03-31,2019,2019,,,,completed,0,0
cbsa,ctms,cbsa-ctms,Canada Border Services Agency,College Training Management System,"College Training Management System The broader scope of this project has been defined as delivering an enterprise, adaptive, modularized case management software solution that allows end-to-end management, control and operation of business objects and corresponding functional operational units, in support of the delivering Officer Induction Training Program (OITP), Arming, Dectector Dog Training Program (DDTP) and other CBSA training and other Government Department Services/Law Enforcement Services.",1,1430000,1430000,2019,2019,,,,,,,,unknown (past due),0,0
cbsa,dynamic-risking,cbsa-dynamic-risking,Canada Border Services Agency,Dynamic Risking,Will leverage predictive analytics and machine learning capabilities to generate a compliance indicator for all travellers in all modes entering Canada.,1,7851715,7851715,2022,2022,2022-09-27,2022-09-27,2022,2022,,,,new,0,0
cbsa,e-manifest,cbsa-e-manifest,Canada Border Services Agency,eManifest,"eManifest eManifest is a major transformative initiative and part of the overall measures the Government of Canada is putting in place to enhance the safety and security of Canadians, as well as international trade while streamlining cross-border processes. When fully implemented, eManifest will require trade chain partners in all modes of transportation to electronically transmit advance commercial information to the CBSA within prescribed mode-specific time frames.",2,415109292,415000000,2016,2019,2017-03-31,2019-06-30,2016,2019,-109292,-0.03,2.25,behind schedule,1,1
cbsa,e-portal-nexus,cbsa-e-portal-nexus,Canada Border Services Agency,Secure E-Portal,"Consolidated Enterprise Portal, NEXUS eApplication and Trusted Trader Portal Enterprise-Portal The 'Secure E-Portal' development activity will enable and extend CBSA secure electronic services to partners and members of the public to help expedite information exchange and the border management processes. NEXUS eApplication To support the Trusted Traveller expansion outlined in the Beyond ttie Border Action Plan, the CBSA will develop a Canadian eApplication for NEXUS membership, and set the foundation for future Trusted Traveller programs (including additional bi-national and tri-national arrangements). Trusted Trader Portal Under the Beyond the Border Action Plan, the Canada Border Services Agency (CBSA) committed to develop an interoperable communication portal, similar to the United States, for its Partners in Protection (PIP) program applicants and members, as well as for other trusted trader programs including Customs Self-Assessment (CSA) and CSA Platinum. The TIP will serve as the foundation for future phases of Trusted Trader enhancements, including the streamlined exchange of program information between the Trusted Trader and the U.S. Customs-Trade Partnership Against Terrorism (C-TPAT) portals.",1,37730299,37730299,2016,2016,2018-03-31,2018-03-31,2016,2016,,,,completed,1,0
cbsa,ecommerce-lvs,cbsa-ecommerce-lvs,Canada Border Services Agency,E-Commerce Risk Assessment-Postal & LVS,"Introduce technology-enabled solutions to manage the rapid growth in volume of low value shipments, particularly found in the postal and express streams, and enhance the CBSA’s ability to process large volumes of transactional data.",1,12371733,12371733,2022,2022,2024-03-31,2024-03-31,2022,2022,,,,new,1,0
cbsa,edrms,cbsa-edrms,Canada Border Services Agency,Electronic Document and Records Management System,"Electronic Document and Records Management System (eDRMS) The purpose of the eDRMS Project is to move CBSA unstructured information that currently resides across a number of unmanaged/partially managed paper and electronic repositories into a ..,,..,1 r,:,ntr<>I r<>nncoilnrv",1,6200000,6200000,2016,2016,2016-07-20,2016-07-20,2016,2016,,,,completed,0,0
cbsa,ee-rfid,cbsa-ee-rfid,Canada Border Services Agency,Entry/Exit Information System,"Entry/Exit including Radio Frequency Identification (RFID) Entry/Exit will provide a coordinated Entry/Exit Information System between Canada and the U.S. to allow for the exchange of accurate entry records on all travellers at all automated ports of entry at the land border, as well as allow for the provision of data collection from commercial air carriers on all travellers on outbound international flights, both pending legislative and regulatory changes. The exit data will allow Canada to have a domain awareness of who is in the country, ensuring the safety of Canadians, while also enhancing the ability of law enforcement, national security, and immigration and social benefits aqencies to make informed and timely decisions.",2,131499223,143900000,2016,2019,2018-10-31,2020-06-01,2016,2019,12400777,9.43,1.58,behind schedule,1,1
cbsa,erass,cbsa-erass,Canada Border Services Agency,Enterprise Risk Assessment Support Service,"Enterprise Risk Assessment Support Service (ERASS) ERASS provides the first and most effective enterprise-wide risk assessment service to support Agency decision making and program integrity. When fully implemented, ERASS will support all Lines of Business (Lo8s) including intelligence and enforcement, commercial and trade, and traveller in all modes: air, land, rail, and marine. The functionality will provide increased border security for Canada and the freer movement of goods across Canada's borders. ERASS is an enterprise service which will provide improved search and identity resolution functionalities. Direct search is a retrieval of information from one or more data sources based on known pieces of reference information, such as lookout number, port id, document number, etc.",1,2200000,2200000,2019,2019,2020-03-31,2020-03-31,2019,2019,,,,completed,0,0
cbsa,eti,cbsa-eti,Canada Border Services Agency,Email Transformation Initiative,"Email Transformation Initiative (ETI) - led by Shared Services Canada (SSC) The Email Transformation Initiative (ETI) will consolidate and modernize Shared Services Canada (SSC) mandated email services (GCMail) to reduce costs, increase security, and enhance program delivery to",1,1400000,1400000,2016,2016,2016-06-30,2016-06-30,2016,2016,,,,completed,0,0
cbsa,fmt,cbsa-fmt,Canada Border Services Agency,Financial Management Transformation,"Financial Management Transformation (Planning, Budgeting and Forecasting) Initiative to improve financial agility, strengthen financial management capabilities, provide managers with tools and self-service reporting to better- manage and monitor financial positions, and re-orient core financial analysts' ability to lead financial analytics in support of modern financial manaqement.",1,6300000,6300000,2019,2019,2020-03-31,2020-03-31,2019,2019,,,,completed,0,0
cbsa,iapi,cbsa-iapi,Canada Border Services Agency,Interactive Advance Passenger Information,Interactive Advance Passenger Information (IAPI) Interactive Advance Passenger Information (IAPI) will require commercial air carriers to provide Advance Passenger Information/Passenger Name Record (API/PNR) data prior to the flight's departure to Canada. The CBSA will send interactive board/no-board messages to the commercial air carrier for all travellers before the fliqht's departure.,2,49987380,45800000,2016,2019,2018-03-31,2019-08-30,2016,2019,-4187380,-8.38,1.42,behind schedule,1,0
cbsa,iss,cbsa-iss,Canada Border Services Agency,Integrated Staffing Solution,"Integrated Staffing Solution This project will implement an automated staffing solution that will accept data from the Public Service Commission's staffing system and permit CBSA Staffing to manage selection and appointment processes, while updating CBSA's enterprise resource planning system of record with position and emplovee data.",1,1700000,1700000,2019,2019,2020-03-31,2020-03-31,2019,2019,,,,completed,0,0
cbsa,paxis,cbsa-paxis,Canada Border Services Agency,Passenger Information System (PAXIS),Passenger Information System (PAX]S) Optimization and Stability The Passenger Information System (PAX.IS) is a data acquisition and analysis system that processes and displays advance crew and passenger information for all international fliqhts destined for Canada,1,4100000,4100000,2019,2019,2020-06-30,2020-06-30,2019,2019,,,,completed,0,0
cbsa,pay-system,cbsa-pay-system,Canada Border Services Agency,Phoenix Pay System,"Pay Modernization - led by Public Works and Government Services Canada (PWGSC) The CBSA Pay Modernization Project supports PWGSC's implementation to replace the current payroll system, Regional Pay System (RPS), with a new GC PeopleSoft payroll solution (Phoenix) by 2015-2016.",1,5370570,5370570,2016,2016,2016-12-18,2016-12-18,2016,2016,,,,completed,0,0
